衡量行业,颜色,市场,ETF代码,ETF名称,分类依据
科技,#2563EB,SZ,159890,云计算ETF招商,名称关键词
科技,#2563EB,SZ,159899,软件ETF招商,名称关键词
科技,#2563EB,SZ,159994,通信ETF银华,名称关键词
科技,#2563EB,SZ,159995,芯片ETF华夏,名称关键词
科技,#2563EB,SZ,159997,电子ETF天弘,名称关键词
科技,#2563EB,SZ,159998,计算机ETF天弘,名称关键词
资源周期,#92400E,SH,510410,资源ETF,名称关键词
资源周期,#92400E,SH,512400,有色ETF,名称关键词
资源周期,#92400E,SH,512940,有色矿业,名称关键词
资源周期,#92400E,SH,513350,油气ETF,名称关键词
资源周期,#92400E,SH,515210,钢铁ETF,名称关键词
资源周期,#92400E,SH,515220,煤炭ETF,名称关键词
资源周期,#92400E,SH,516020,化工ETF,名称关键词
资源周期,#92400E,SH,516120,化工50,名称关键词
资源周期,#92400E,SH,516150,稀土基金,名称关键词
资源周期,#92400E,SH,516220,化工龙头,名称关键词
资源周期,#92400E,SH,516360,新材料,名称关键词
资源周期,#92400E,SH,516480,新材料基,名称关键词
资源周期,#92400E,SH,516650,有色50,名称关键词
资源周期,#92400E,SH,516690,化工产业,名称关键词
资源周期,#92400E,SH,516710,新材料50,名称关键词
资源周期,#92400E,SH,516780,稀土ETF,名称关键词
资源周期,#92400E,SH,560290,景顺有色,名称关键词
资源周期,#92400E,SH,560470,有色E,名称关键词
资源周期,#92400E,SH,560490,华泰有色,名称关键词
资源周期,#92400E,SH,560860,工业有色,名称关键词
资源周期,#92400E,SH,560870,中银有色,名称关键词
资源周期,#92400E,SH,560970,有色金属,名称关键词
资源周期,#92400E,SH,561360,石油ETF,名称关键词
资源周期,#92400E,SH,561570,油气基金,名称关键词
资源周期,#92400E,SH,561620,华泰化工,名称关键词
资源周期,#92400E,SH,561760,油气博时,名称关键词
资源周期,#92400E,SH,561830,有色GTHT,名称关键词
资源周期,#92400E,SH,562590,半导材料,名称关键词
资源周期,#92400E,SH,563150,油气资源,名称关键词
资源周期,#92400E,SH,588010,科创材料,名称关键词
资源周期,#92400E,SZ,158006,化工ETF博时,名称关键词
资源周期,#92400E,SZ,158017,化工ETF易方达,名称关键词
资源周期,#92400E,SZ,159017,石油ETF工银,名称关键词
资源周期,#92400E,SZ,159018,石油ETF广发,名称关键词
资源周期,#92400E,SZ,159019,石油ETF华宝,名称关键词
资源周期,#92400E,SZ,159026,石油ETF南方,名称关键词
资源周期,#92400E,SZ,159029,有色ETF广发,名称关键词
资源周期,#92400E,SZ,159032,工业有色ETF易方达,名称关键词
资源周期,#92400E,SZ,159049,有色ETF工银,名称关键词
资源周期,#92400E,SZ,159082,化工ETF华夏,名称关键词
资源周期,#92400E,SZ,159087,化工ETF万家,名称关键词
资源周期,#92400E,SZ,159093,化工ETF汇添富,名称关键词
资源周期,#92400E,SZ,159129,化工ETF嘉实,名称关键词
资源周期,#92400E,SZ,159133,化工ETF天弘,名称关键词
资源周期,#92400E,SZ,159148,石油ETF富国,名称关键词
资源周期,#92400E,SZ,159157,有色金属ETF天弘,名称关键词
资源周期,#92400E,SZ,159162,工业有色ETF鹏华,名称关键词
资源周期,#92400E,SZ,159163,有色ETF泰康,名称关键词
资源周期,#92400E,SZ,159168,有色ETF富国,名称关键词
